title,content,tags
Pretzel burger buns: how to make soft crust?,"According to pretzel bread recipe, raw dough buns must be dipped for 30 seconds into a water with baking soda before going into the over in order for them to develop that pretzel brown crust, but it also seems to make the crust quite hard. Is there anything I should add or do to make the pretzel bun's crust soft like this:

All the recipes I tried to follow on the internet came out with a very hard pretzel crust.
","baking, crust, pretzels"
Why must the oven be preheated for a Pyrex glass pan?,"This Pyrex glass safety label says ""Always preheat oven"".  Any idea why?

","heat, kitchen-safety, glass"
Delayed Pressure Canning by 12 hours? OK? or no?,"We did a batch of canning the other day. We take our beans and blanch them then let them cool off. We take our mason jars and boil them as well as our lids. We take the jars out of the boiling water, add our beans, and then fill the jar with boiling water (leaving head room at the top). We then take the full and closed jars and put them in the pressure canner for 25 min with the top shaking/rocking. Then let them sit in the canner for probably another 30ish min until the pressure is gone and we then let them sit on the counter until they cool completely (hours later). 
Here is the question. We did multiple batches that night and it got so late that our last batch we decided to wait until morning to pressure can them. So they sat on the counter for maybe 12 hours max before they were put into the pressure canner the next morning. The lids were on tight and they seemed to be sealed. The only variation from our normal canning procedure was waiting 12 hours before putting them in the pressure canner. Are these still safe to eat? We are concerned that by waiting bacteria could have grown and that it wont be killed from the pressure canning. If these were yours, would you throw them out? Or keep them?
","beans, canning"
Are eggs left in car trunk for 3 days safe to eat?,"I had purchased eggs at the supermarket and i forgot them in the trunk of my car for for 3 days are they still okay to eat?
","food-safety, eggs"
Looking for tasty herbal tea,"Can anyone recommend me some combinations of herbs that make up a tasty tea? Any herbs with the exception of Camellia sinensis. I would be very grateful for recommendations.
","tea, drinks"
Are capers a substitute for pickles in a tartare sauce?,"Would capers work in place of the usual pickles in tartar sauce? I'm mostly curious and it might help other people who want to try this as well! I figure that it would add a tangy kind of aftertaste.
","substitutions, pickles"
Is eating olive pits a problem?,"I have been eating fresh and brined olives for years. I like the olives with the pits and usually consume the whole pit without removing it. It was recently pointed out to me that this is not a healthy practice, and even though I have been doing this for some time, I began to wonder whether it is 1)abnormal to eat the whole olive, pit and all, and 2) will the pits have a long term adverse effect? I have never met anyone who ate olive pits, and I find the pitted olives to be the best, so I thought I would ask. Note that I do not grind up and chew the pits, as I am sure that my teeth would not like that!
",olive
How to get rid of tiny black spots on white plastic cutting board?,"When I looked in the dishwasher this morning after it ran overnight, I noticed an amount of tiny flecks on the white plastic cutting board I have, on both sides of the surface. After taking it to the sink, no amount of scrubbing is getting them out!
-What is it?
-How do I get them out?
-Can I still use it?
","cleaning, cutting-boards"
Sous Vide effectiveness of trapping residual air above water bath?,"(Note: this is a continuation of this question: Sous vide effectiveness without using a vacuum sealer?)
What is the scientific impact of trapping small amounts of residual air in a pocket above the water bath?  This assumes that there is still a very strong thermal coupling between the water bath and sous vide item. 
In the photo below, you can see at least a 2-inch gap between the air pockets above water level and the actual short ribs. The food does not float. 
From a heat transfer perspective, I can't imagine that a vacuum sealed bag can perform significantly better—certainly not relative to a 48hr cook time. 

Is there (scientifically) something fundamental about vacuum pressure with sous vide, or is it only continuous, stable heat-transfer? What kind of ""oxidation causing off flavors or promote spoilage"" is possible in the described scenario? 
Is there a possibility of bacterial contamination? 
What would happen if I cut a small hole in the bag above the water level and let the trapped air escape--as long as the food does not float and water does not leak in?
",sous-vide
"Is it normal to wash an apple, or other fruits, with dish washing liquid?","I've never seen anyone do that until yesterday. So I wanted to know is this appropriate for when preparing apples for any meal, how about other fruits? Unlike plates, fruits can absorb chemicals. 
","fruit, cleaning"
