title,content,tags
In states connection flight within with same airline and security checks,"I am traveling LAS -> ATL -> JFK -> FRA. I fly with the same airline company (Delta) and hence will be only in their terminals (I think so) in each one of the US airports. 
My question is whether I have to go through the security check also at JFK and ATL? I have very short layover and afraid to miss the flights. 
","air-travel, usa, airport-security"
right-of-way - merging vs. oncoming traffic in Pennsylvania,"As depicted in the Google satellite image below, I (red) was merging onto the southbound lane of Route 89. At the yield sign (at location of the red dot) I observed that there were no approaching cars in the southbound lane. However, there was a car (blue) in the northbound lane who had their turn signal on to turn left into the Cafe parking lot. I did not see my interaction with this vehicle to be any different than if I had already been on Route 89 and I proceeded without stopping.
However, based on the blue vehicles actions, it is clear that they thought that I should have stopped at the yield sign and allowed them to turn in front of me. 
Who had the right of way in this instance?

Note that projected paths are dotted and already traveled paths are solid in the above image.
The location is rural Pennsylvania.
I should note that I understand the importance of defensive driving and being ready and aware of what others actually do, even if it is not in line with the rules. I'm simply trying to understand what the rule is in this situation. Who actually has the right-of way here and who ""should"" be yielding?
","usa, driving"
Thai national to Spain from UK,"My Thai girlfriend has a six month visa to visit the Uk and we would like to go on holiday to Spain for two weeks while she is here.Is this possible without too much expense and documentation required for visas etc.
","spain, thai-citizens"
Transit visa in Serbia,"I am a Syrian citizen living in France and I have a long time residence permit there.
I want to fly to Lebanon with one hour transit in Belgrade airport in Serbia.
Do I need transit visa? 
","transit-visas, serbia, syrian-citizens, lebanon"
No Refusal letter for submission,"What happens if I don't have a visa refusal letter ? To be submitted during application process for a another country ?! 
",visas
Transfer time from JFK to EWR,"I'm flying into JFK on Cathay Pacific, then onto Ithaca, NY from Newark International on United. Can anyone advise the transit time via taxi from JFK to Newark Int'l? Will traffic be an issue driving through Manhattan to Newark? 
I get into JFK at 13:10 and my flight at Newark is 17:15.
","transit, taxis, jfk, ewr"
What is the 5-digit alpha/numerical number?,"My Global Entry card has the number SC... on the lower right corner of the front of the card.  What is this number?
",global-entry
From SE Asia or India to Kenia/SAR -- why are the prices of the tickets always the same?,"I'm in SE Asia and I want to get to Africe: Kenia or SAR. Preferably as cheap as possible. I'm looking at the prices from India, Mumbai, as the cheapest source point, and I see that all, all of the tickets are the same, around $200. No matter when: one or four months from now -- the same. Why is that? Aren't there better deals?
","tickets, india, south-africa, kenya"
Are Deutsche Bahn ticket details available when bought on the day of the trip?,"I know that if a ticket is bought online, the different stops and platforms are described on the ticket. However, would this information be given if bought at the station or train? Also, does the train announce the name of each stop?
","trains, tickets, deutsche-bahn"
"When UK visa is rejected with comments ""no right to appeal or right to administrative review"" can I apply again immediately","When a UK visitors visa is rejected with comments no right to appeal or to administrative review can one apply afresh and, after how long?
","uk, visa-refusals"
Connection time Seattle,"I am traveling from SF to Seattle (Alaskan)  to take a BA flight back to the UK, I am not a US citizen.  Can I safely make the flight if I allow two hours to get from domestic to international with my bag? My other option is a 7 hour wait! :(
","short-connections, seattle"
Manila-Dubai-Armenia,"My wife will travel from Manila (maybe Cebu Pacific airlines DXB teminal 1) connecting flight to Armenia (Flydubai DXB terminal 2). I plan to meet her at terminal 2 since I have resident visa here in Dubai. I am worried if we might encounter problems regarding this itenerary.
After visiting Armenia we then proceed here in Dubai with tourist visa(single entry) 
Can  anyone help if my assumed plan is on the right path. 
","indian-citizens, filipino-citizens, malaysia, armenia, armenian-citizens"
Islands and similar where visitors cannot take a car,"I love car-free islands and other locations where visitors cannot take a car, but that are still reachable by public transportation, inhabited or not.
Some examples, in no particular order:

Channel Islands National Park, California, USA
Zermatt, Switzerland (not an island)
Toronto Islands, Toronto, Canada
Isles of Scilly, England
Small Isles, Inner Hebrides, Scotland
Vlieland, Netherlands
Harstad peninsula near Harstad, Nordland, Norway
Apparently, some island/s near Toulon, France

Is there any resource listing such car-free and nearly-car-free islands (and non-islands)?
","online-resources, planning, rural"
Tactics to avoid getting harassed by corrupt police?,"In Uzbekistan I was stopped, searched and questioned six times in one day.
At the border with Tajikistan, one official tried hiding my paperwork to elicit something from me.
In Kyrgyzstan, I was physically harassed and detained by the police, and about US$30 taken while they searched everything on me and a Dutch backpacker I was going to get food with.
I'm not particularly dodgy looking - it's happening to a lot of backpackers I meet.  Tourists are apparently a prime target for corrupt officials.
Any suggestions or tactics for avoiding these occurrences?  Aside from carrying only photocopies of your passport so that they can't hold your passport ransom, I've not heard many successful tips...
","safety, tips-and-tricks, local-customs, officials, corruption"
Basic campsites in Black Forest (Schwarzwald),"I'm hoping to find a cheap basic campsite in the Black Forest for a family of four. Not fussed about flash facilities, electric hook up etc. Composting toilet and peaceful location would suit us just fine! Near a lake or river would be a bonus. The cheaper the better.  Does anyone have any good ideas / local knowledge they could share?  Thanks 
","germany, camping, rural"
